date_,LGA19_,n_known_cluster_cases_
2020-07-06,Albury (C),2
2020-07-07,Campbelltown (C) (NSW),1
2020-07-09,Blue Mountains (C),2
2020-07-10,Blue Mountains (C),2
2020-07-11,Liverpool (C),1
2020-07-12,LGA not listed,1
2020-07-12,Bayside (A),1
2020-07-12,Liverpool (C),5
2020-07-12,Wollondilly (A),1
2020-07-13,Campbelltown (C) (NSW),2
2020-07-13,Fairfield (C),1
2020-07-13,Lake Macquarie (C),1
2020-07-13,Liverpool (C),5
2020-07-13,Parramatta (C),1
2020-07-13,Wollondilly (A),3
2020-07-14,LGA not listed,1
2020-07-14,Blacktown (C),1
2020-07-14,Campbelltown (C) (NSW),1
2020-07-14,Georges River (A),1
2020-07-14,Liverpool (C),2
2020-07-15,Blacktown (C),1
2020-07-15,Campbelltown (C) (NSW),1
2020-07-15,Liverpool (C),2
2020-07-15,Parramatta (C),1
2020-07-16,Camden (A),1
2020-07-16,Campbelltown (C) (NSW),1
2020-07-16,Canterbury-Bankstown (A),2
2020-07-16,Fairfield (C),1
2020-07-16,Georges River (A),1
2020-07-16,Lake Macquarie (C),1
2020-07-17,Campbelltown (C) (NSW),1
2020-07-17,Georges River (A),1
2020-07-17,Liverpool (C),2
2020-07-17,Shellharbour (C),1
2020-07-17,Sutherland Shire (A),1
2020-07-18,Canterbury-Bankstown (A),2
2020-07-18,Cumberland (A),4
2020-07-18,Fairfield (C),3
2020-07-18,Liverpool (C),1
2020-07-18,Penrith (C),1
2020-07-19,Bayside (A),1
2020-07-19,Blacktown (C),1
2020-07-19,Eurobodalla (A),3
2020-07-19,Fairfield (C),3
2020-07-19,Liverpool (C),1
2020-07-19,Parramatta (C),1
2020-07-19,Sutherland Shire (A),3
2020-07-19,The Hills Shire (A),2
2020-07-19,Wollondilly (A),1
2020-07-20,LGA not listed,1
2020-07-20,Blacktown (C),2
2020-07-20,Blue Mountains (C),1
2020-07-20,Cumberland (A),2
2020-07-20,Fairfield (C),2
2020-07-20,Liverpool (C),2
2020-07-20,Parramatta (C),2
2020-07-20,The Hills Shire (A),2
2020-07-21,Campbelltown (C) (NSW),1
2020-07-21,Cumberland (A),2
2020-07-21,Fairfield (C),5
2020-07-21,Georges River (A),1
2020-07-21,Liverpool (C),2
2020-07-21,Port Stephens (A),1
2020-07-21,The Hills Shire (A),1
2020-07-22,LGA not listed,2
2020-07-22,Blacktown (C),1
2020-07-22,Fairfield (C),1
2020-07-22,Liverpool (C),2
2020-07-22,Port Stephens (A),2
2020-07-22,Sutherland Shire (A),1
2020-07-22,Sydney (C),1
2020-07-22,Wollongong (C),2
2020-07-23,Cumberland (A),1
2020-07-23,Fairfield (C),2
2020-07-23,Parramatta (C),1
2020-07-23,The Hills Shire (A),1
2020-07-24,Canterbury-Bankstown (A),1
2020-07-24,Cumberland (A),3
2020-07-24,Fairfield (C),5
2020-07-24,Liverpool (C),1
2020-07-24,Parramatta (C),1
2020-07-24,Wollongong (C),1
2020-07-25,LGA not listed,2
2020-07-25,Byron (A),2
2020-07-25,Canterbury-Bankstown (A),4
2020-07-25,Fairfield (C),1
2020-07-25,Liverpool (C),2
2020-07-26,Blacktown (C),1
2020-07-26,Canterbury-Bankstown (A),1
2020-07-26,Cumberland (A),1
2020-07-26,Liverpool (C),1
2020-07-27,Canterbury-Bankstown (A),3
2020-07-27,Fairfield (C),2
2020-07-27,Liverpool (C),1
2020-07-27,Parramatta (C),4
2020-07-27,Penrith (C),1
2020-07-27,Port Stephens (A),1
2020-07-27,Sydney (C),1
2020-07-27,Waverley (A),1
2020-07-28,LGA not listed,1
2020-07-28,Blacktown (C),1
2020-07-28,Cumberland (A),6
2020-07-28,Fairfield (C),1
2020-07-28,Georges River (A),1
2020-07-28,Port Stephens (A),1
2020-07-28,Sydney (C),2
2020-07-28,Waverley (A),1
